,"Agriculture, Forestry, Fishing and Hunting","Mining, Quarrying, and Oil and Gas Extraction",Utilities,Construction,Manufacturing,Wholesale Trade,Retail Trade,Transportation and Warehousing,Information,Finance and Insurance,Real Estate and Rental and Leasing,"Professional, Scientific, and Technical Services",Management of Companies and Enterprises,Administrative and Support and Waste Management and Remediation Services,Educational Services,Health Care and Social Assistance,"Arts, Entertainment, and Recreation",Accommodation and Food Services,Other Services (except Public Administration),Public Administration,"Agriculture, Forestry, Fishing and Hunting flag","Mining, Quarrying, and Oil and Gas Extraction flag",Utilities flag,Construction flag,Manufacturing flag,Wholesale Trade flag,Retail Trade flag,Transportation and Warehousing flag,Information flag,Finance and Insurance flag,Real Estate and Rental and Leasing flag,"Professional, Scientific, and Technical Services flag",Management of Companies and Enterprises flag,Administrative and Support and Waste Management and Remediation Services flag,Educational Services flag,Health Care and Social Assistance flag,"Arts, Entertainment, and Recreation flag",Accommodation and Food Services flag,Other Services (except Public Administration) flag,Public Administration flag
Alabama,2,2,0,17,12,8,21,18,8,10,6,42,5,32,11,25,11,32,6,3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Alaska,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Arizona,17,19,3,129,47,52,137,107,30,57,35,149,22,162,66,173,72,187,42,28,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Arkansas,1,5,1,21,7,7,19,19,3,7,4,23,3,26,8,27,6,30,4,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
California,24,20,5,181,111,140,256,276,126,100,62,579,48,287,162,303,104,376,80,51,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Connecticut,0,0,1,4,13,6,9,4,7,12,2,31,2,17,9,20,5,17,2,2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Delaware,0,1,0,1,1,1,3,2,2,1,2,3,1,3,2,3,1,5,1,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
District of Columbia,0,0,0,4,2,2,5,1,10,5,3,45,3,12,10,12,4,10,12,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Florida,8,8,4,105,65,64,164,151,51,79,42,259,33,207,76,210,65,287,58,31,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Georgia,2,3,1,43,17,30,48,63,31,19,9,115,14,85,37,73,22,78,18,14,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Hawaii,0,1,1,12,3,2,15,17,5,3,4,15,3,19,8,22,8,35,6,3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Idaho,2,3,2,36,16,12,27,12,4,6,2,30,5,34,17,38,9,39,7,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Illinois,4,4,4,42,29,59,68,117,37,59,17,216,25,68,56,100,24,86,24,14,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Indiana,2,2,1,29,19,16,32,24,10,12,7,56,9,42,28,51,14,50,16,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Iowa,2,1,1,24,15,13,36,17,5,15,3,42,5,38,24,51,11,45,10,6,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Kansas,10,8,3,69,23,28,52,35,8,15,9,50,7,50,32,67,16,68,16,15,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Kentucky,1,1,1,14,8,9,16,18,4,9,4,18,3,27,12,24,8,23,6,2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Louisiana,1,9,2,35,9,5,30,21,5,9,9,32,6,46,19,35,9,49,12,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Maine,0,0,0,6,3,1,6,4,2,3,1,12,2,14,5,15,4,11,2,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Maryland,1,1,1,8,12,9,19,22,14,15,4,76,5,27,19,33,7,25,9,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Massachusetts,3,2,1,15,13,13,24,10,18,20,6,102,12,47,43,51,20,43,10,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Michigan,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Minnesota,3,1,3,34,19,25,38,24,12,30,5,80,10,40,36,59,17,53,16,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Mississippi,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Missouri,6,4,1,38,22,27,49,37,16,26,9,83,11,68,34,82,20,70,16,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Montana,4,5,2,50,13,8,28,12,4,6,4,29,5,27,14,39,17,47,10,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Nebraska,12,4,2,49,23,19,44,26,13,21,9,47,7,57,28,67,14,57,14,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Nevada,2,9,1,46,17,18,46,72,7,14,9,47,7,46,22,40,12,71,11,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
New Hampshire,0,0,0,5,4,5,6,3,2,5,1,15,3,15,6,14,6,14,2,2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
New Jersey,2,0,1,11,12,10,19,39,9,15,7,55,7,23,15,29,8,33,9,2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
New Mexico,8,25,2,83,25,19,95,44,10,16,13,69,11,88,43,120,33,104,16,22,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
New York,2,2,1,26,27,27,45,24,58,54,11,202,19,67,56,79,43,94,26,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
North Carolina,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
North Dakota,1,28,0,36,4,7,12,11,3,3,2,16,3,21,5,18,3,13,5,2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Ohio,3,5,1,26,23,31,36,32,13,26,13,83,13,52,31,69,21,63,12,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Oklahoma,4,19,1,51,15,14,43,34,10,13,9,48,7,42,25,45,11,56,12,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Oregon,2,3,2,29,16,20,47,30,11,13,11,58,6,58,27,65,15,60,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Pennsylvania,2,8,2,29,23,27,42,27,21,23,10,87,10,47,32,58,17,57,13,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Rhode Island,1,0,0,2,1,1,3,0,2,3,0,6,2,3,3,3,2,7,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
South Carolina,0,2,0,14,9,12,20,14,7,9,9,33,5,33,17,36,10,41,9,3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
South Dakota,1,2,2,15,7,8,16,8,3,5,2,12,4,16,8,26,9,26,4,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Tennessee,2,2,1,34,15,23,39,42,15,22,11,73,11,64,33,62,16,65,14,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Texas,26,128,17,399,145,180,314,420,139,171,79,567,73,407,195,378,90,445,97,52,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Utah,3,40,1,105,26,35,62,95,13,28,15,81,12,84,33,79,38,100,21,13,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Vermont,0,0,1,3,1,2,6,1,2,2,2,9,2,8,6,13,5,14,3,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Virginia,1,2,2,31,18,26,42,50,40,22,10,187,9,56,41,64,16,52,16,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Washington,3,2,2,46,32,37,77,55,39,22,16,133,13,98,39,93,21,89,21,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
West Virginia,1,2,1,3,2,2,4,2,1,0,2,7,1,7,3,8,5,8,2,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Wisconsin,2,1,0,28,20,24,35,24,12,16,8,63,8,43,28,71,13,52,15,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Wyoming,4,70,2,114,21,26,70,36,11,13,15,41,8,66,36,74,16,66,24,19,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
