"name","total_pop","total_housing_unit"
"Acres Green CDP, Colorado",2627,1046
"Aetna Estates CDP, Colorado",1194,457
"Aguilar town, Colorado",456,350
"Air Force Academy CDP, Colorado",6665,662
"Akron town, Colorado",1675,875
"Alamosa city, Colorado",9792,4201
"Alamosa East CDP, Colorado",1319,600
"Allenspark CDP, Colorado",622,792
"Alma town, Colorado",396,206
"Alpine CDP, Colorado",219,323
"Altona CDP, Colorado",531,271
"Amherst CDP, Colorado",77,19
"Antonito town, Colorado",634,432
"Applewood CDP, Colorado",7985,3409
"Arapahoe CDP, Colorado",21,20
"Arboles CDP, Colorado",383,219
"Aristocrat Ranchettes CDP, Colorado",1987,558
"Arriba town, Colorado",235,162
"Arvada city, Colorado",123066,51716
"Aspen city, Colorado",6952,6048
"Aspen Park CDP, Colorado",1006,400
"Atwood CDP, Colorado",144,57
"Ault town, Colorado",1601,654
"Aurora city, Colorado",387349,147725
"Avon town, Colorado",6115,4005
"Avondale CDP, Colorado",379,116
"Bark Ranch CDP, Colorado",129,65
"Basalt town, Colorado",3815,2180
"Battlement Mesa CDP, Colorado",5148,2307
"Bayfield town, Colorado",2853,1098
"Bennett town, Colorado",3299,1143
"Berkley CDP, Colorado",11185,4311
"Berthoud town, Colorado",10892,4296
"Bethune town, Colorado",217,77
"Beulah Valley CDP, Colorado",643,426
"Black Forest CDP, Colorado",14437,5291
"Black Hawk city, Colorado",129,61
"Blanca town, Colorado",321,146
"Blende CDP, Colorado",663,338
"Blue River town, Colorado",1238,787
"Blue Sky CDP, Colorado",98,23
"Blue Valley CDP, Colorado",171,114
"Bonanza town, Colorado",11,34
"Bonanza Mountain Estates CDP, Colorado",133,94
"Boone town, Colorado",289,246
"Boulder city, Colorado",106598,46551
"Bow Mar town, Colorado",996,322
"Brandon CDP, Colorado",27,15
"Branson town, Colorado",60,65
"Breckenridge town, Colorado",5017,7734
"Brick Center CDP, Colorado",88,41
"Briggsdale CDP, Colorado",124,51
"Brighton city, Colorado",40569,13546
"Brook Forest CDP, Colorado",535,349
"Brookside town, Colorado",290,141
"Broomfield city, Colorado",73946,31338
"Brush city, Colorado",5304,2073
"Buena Vista town, Colorado",2887,1544
"Burlington city, Colorado",3184,1632
"Byers CDP, Colorado",1635,578
"Calhan town, Colorado",386,262
"Campo town, Colorado",103,75
"Cañon City city, Colorado",17059,7739
"Capulin CDP, Colorado",301,57
"Carbonate town, Colorado",0,0
"Carbondale town, Colorado",6497,2965
"Cascade-Chipita Park CDP, Colorado",1302,747
"Castle Pines city, Colorado",11811,4253
"Castle Pines Village CDP, Colorado",4462,1772
"Castle Rock town, Colorado",74065,26829
"Cathedral CDP, Colorado",16,20
"Catherine CDP, Colorado",268,143
"Cattle Creek CDP, Colorado",538,243
"Cedaredge town, Colorado",2572,1321
"Centennial city, Colorado",107702,41927
"Center town, Colorado",2349,1100
"Central City city, Colorado",655,478
"Chacra CDP, Colorado",428,229
"Cheraw town, Colorado",197,105
"Cherry Creek CDP, Colorado",11157,4282
"Cherry Hills Village city, Colorado",6405,2336
"Cheyenne Wells town, Colorado",932,506
"Cimarron Hills CDP, Colorado",19039,7383
"City of Creede town, Colorado",280,306
"Clifton CDP, Colorado",19443,7889
"Coal Creek CDP, Colorado",2431,1312
"Coal Creek town, Colorado",494,196
"Coaldale CDP, Colorado",379,200
"Cokedale town, Colorado",148,94
"Collbran town, Colorado",647,182
"Colona CDP, Colorado",89,31
"Colorado City CDP, Colorado",1932,939
"Colorado Springs city, Colorado",479612,201936
"Columbine CDP, Colorado",25940,9893
"Columbine Valley town, Colorado",1928,739
"Comanche Creek CDP, Colorado",530,124
"Commerce City city, Colorado",63050,21392
"Conejos CDP, Colorado",0,17
"Cope CDP, Colorado",46,40
"Copper Mountain CDP, Colorado",285,1445
"Cortez city, Colorado",8832,4104
"Cotopaxi CDP, Colorado",18,74
"Craig city, Colorado",9013,4271
"Crawford town, Colorado",459,197
"Crested Butte town, Colorado",1434,1197
"Crestone town, Colorado",33,51
"Cripple Creek city, Colorado",1093,817
"Crisman CDP, Colorado",264,104
"Crook town, Colorado",80,52
"Crowley town, Colorado",195,60
"Dacono city, Colorado",6260,2151
"Dakota Ridge CDP, Colorado",34234,13366
"De Beque town, Colorado",470,231
"Deer Trail town, Colorado",904,341
"Del Norte town, Colorado",1808,1021
"Delta city, Colorado",9137,3779
"Denver city, Colorado",710800,344760
"Derby CDP, Colorado",9009,2658
"Dillon town, Colorado",831,1235
"Dinosaur town, Colorado",495,174
"Divide CDP, Colorado",140,40
"Dolores town, Colorado",852,615
"Dotsero CDP, Colorado",1189,353
"Dove Creek town, Colorado",775,393
"Dove Valley CDP, Colorado",5569,2382
"Downieville-Lawson-Dumont CDP, Colorado",558,264
"Durango city, Colorado",19148,9488
"Eads town, Colorado",646,314
"Eagle town, Colorado",7481,2526
"East Pleasant View CDP, Colorado",134,65
"Eaton town, Colorado",5763,2358
"Echo Hills CDP, Colorado",362,168
"Eckley town, Colorado",338,177
"Edgewater city, Colorado",5002,2390
"Edwards CDP, Colorado",10721,5423
"Elbert CDP, Colorado",203,98
"Eldora CDP, Colorado",381,524
"Eldorado Springs CDP, Colorado",284,139
"Elizabeth town, Colorado",1830,720
"El Jebel CDP, Colorado",4328,1524
"Ellicott CDP, Colorado",1247,363
"El Moro CDP, Colorado",220,107
"Empire town, Colorado",447,300
"Englewood city, Colorado",33634,16659
"Erie town, Colorado",30447,10771
"Estes Park town, Colorado",5906,4328
"Evans city, Colorado",22092,6947
"Evergreen CDP, Colorado",8972,3915
"Fairmount CDP, Colorado",10398,3739
"Fairplay town, Colorado",782,434
"Federal Heights city, Colorado",14173,5372
"Firestone town, Colorado",16704,5816
"Flagler town, Colorado",581,324
"Fleming town, Colorado",707,258
"Florence city, Colorado",3874,1740
"Florissant CDP, Colorado",173,58
"Floyd Hill CDP, Colorado",856,429
"Fort Carson CDP, Colorado",18105,3673
"Fort Collins city, Colorado",168758,72690
"Fort Garland CDP, Colorado",582,276
"Fort Lupton city, Colorado",8164,2945
"Fort Morgan city, Colorado",11501,4509
"Fountain city, Colorado",29498,10671
"Four Square Mile CDP, Colorado",21420,10595
"Fowler town, Colorado",1115,658
