"id","name","host_id","host_name","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365","number_of_reviews_ltm","license"
360,"Sit in the Peaceful Garden of the Chickadee Cottage in LoHi",666,"Jennifer & Giovanni",39.766414642334,-105.002098083496,"Entire home/apt",161,30,181,"2024-03-02",2.53,2,110,3,"2017-BFN-0002177"
364,"Lodo / RiNo LOFT  via airport train",783,"Jason",39.76672,-104.97906,"Entire home/apt",179,185,87,"2016-04-26",0.47,1,358,0,""
590,"Comfortable  - and a great value!",933,"Jill",39.75511,-104.91109,"Private room",70,1,726,"2024-05-22",3.91,2,236,24,"2021-BFN-0000578"
592,"private",933,"Jill",39.75481,-104.91106,"Private room",64,15,175,"2024-06-02",0.94,2,219,7,"2021-BFN-0000578"
1940,"Baker Studio: Private-full kitchen-W/D-walkable",2150,"Joanne",39.7202051081166,-104.997498989105,"Entire home/apt",88,1,183,"2024-06-27",2.02,1,231,51,"2018-BFN-0002596"
21745,"Alexandra's King Bed Room Long-term Only",990,"Alexandra",39.7449,-104.97711,"Private room",43,30,236,"2024-04-13",1.36,1,320,2,""
31503,"Highland Park Guest House",135298,"Rick",39.76179,-105.02845,"Entire home/apt",108,4,169,"2024-05-16",1.01,1,318,19,"2020-BFN-0000193"
39405,"LoHi Secret Garden at Mulberry at Denver Cottages",666,"Jennifer & Giovanni",39.7660533785122,-105.003078154628,"Entire home/apt",137,3,699,"2024-06-10",4.13,2,65,42,"2022-BFN-0010458"
154999,"Midland Lofts 209: In the Heart of Downtown",745200,"Susan",39.74439,-104.98927,"Entire home/apt",169,29,11,"2011-12-13",0.07,4,302,0,""
192430,"Treetop View Room East City Park 1-2 months",923646,"Kate",39.7435,-104.93753,"Private room",36,29,133,"2024-04-19",0.85,1,150,4,""
217996,"Highland Snug - Down",10730,"William",39.7589789530477,-105.01058308781,"Entire home/apt",90,30,12,"2022-03-28",0.11,3,153,0,""
364585,"Washington Park Stunning Townhouse",930851,"Nicholas",39.69845,-104.98073,"Entire home/apt",181,29,143,"2024-05-30",0.96,1,323,3,""
370209,"Private room in the nest - w/bathroom",269892,"Maura",39.7172,-104.99767,"Private room",83,1,169,"2024-05-26",1.55,2,299,33,"2017-BFN-0008931"
477016,"Private room In the heart of Denver",10951,"Tricia",39.74348,-104.97089,"Private room",59,3,413,"2024-05-27",2.83,1,40,27,"2019-BFN-0009249"
504080,"Creative Haven in Artist’s Abode",2370964,"Andrea",39.76574,-104.95379,"Entire home/apt",115,3,89,"2023-11-02",0.61,1,110,6,"2017-BFN-0001679"
548897,"TreeHouseSuite, in Healing Center ~30 DAYS OR MORE",1313972,"Heather",39.74247,-104.95916,"Private room",53,30,163,"2023-10-18",1.17,2,147,1,""
575758,"a REAL warehouse LOFT",2832150,"Kerry",39.76561,-104.97945,"Entire home/apt",200,180,37,"2017-01-09",0.3,1,365,0,""
632709,"1890 townhome in popular LoHi! 2018-BFN-0009355",2157095,"Valerie",39.76468,-105.00883,"Entire home/apt",143,29,154,"2020-03-13",1.15,1,142,0,""
